#neurons por layer oculto,#layers ocultos,max epochs,test size,lrate,alpha,MSE(training),MSE(test)
1,1,200,0.8,0.9,1,0.055318103292526614,0.08963653154481302
1,1,100,0.8,0.9,1,0.05891168541866663,0.08649714741157001
1,1,50,0.8,0.9,1,0.06362749627652815,0.08620182399359713
1,1,200,0.8,0.9,0.7,0.05470002822588398,0.08904998313258237
1,1,100,0.8,0.9,0.7,0.058340214000620935,0.08581940756529667
1,1,50,0.8,0.9,0.7,0.0629953243561743,0.08583116062976662
1,1,200,0.8,0.9,0.5,0.05434845550070447,0.08861643646399671
1,1,100,0.8,0.9,0.5,0.058063431051525935,0.0854397680996531
1,1,50,0.8,0.9,0.5,0.06270086632351038,0.08562812089368628
1,1,200,0.8,0.9,0.2,0.053997292267145745,0.0877696772650372
1,1,100,0.8,0.9,0.2,0.0578438521338848,0.08498829336468046
1,1,50,0.8,0.9,0.2,0.06258002754483948,0.08539857941598812
1,1,200,0.8,0.9,0,0.0539586594920898,0.08701751217283542
1,1,100,0.8,0.9,0,0.05788904169892255,0.08479022921245774
1,1,50,0.8,0.9,0,0.0628219793948116,0.08531432415254543
1,1,200,0.8,0.5,1,0.05397501518994698,0.0868244792451564
1,1,100,0.8,0.5,1,0.05781261261541928,0.08461277848082002
1,1,50,0.8,0.5,1,0.06267809718159605,0.0850623505123901
1,1,200,0.8,0.5,0.7,0.05391096234943146,0.08611541125196427
1,1,100,0.8,0.5,0.7,0.05783189413287882,0.08441465458558302
1,1,50,0.8,0.5,0.7,0.06287069120132027,0.08494615062196688
1,1,200,0.8,0.5,0.5,0.05396684661640852,0.0856151774920636
1,1,100,0.8,0.5,0.5,0.05795250591417842,0.08431814871999355
1,1,50,0.8,0.5,0.5,0.06314814760250491,0.08489444322379334
1,1,200,0.8,0.5,0.2,0.054259509070348315,0.08490020300426927
1,1,100,0.8,0.5,0.2,0.05841069221411742,0.08422311091554649
1,1,50,0.8,0.5,0.2,0.0638024512888056,0.08488516241997932
1,1,200,0.8,0.5,0,0.05464922818096813,0.0845166229877239
1,1,100,0.8,0.5,0,0.05903804373438319,0.08419055021618486
1,1,50,0.8,0.5,0,0.06437965461283837,0.08498201385420863
1,1,200,0.8,0.1,1,0.05842279212588891,0.08335060245126218
1,1,100,0.8,0.1,1,0.06380125577199977,0.08400049247214628
1,1,50,0.8,0.1,1,0.06667413135866618,0.08544418580241102
1,1,200,0.8,0.1,0.7,0.05955077096665744,0.08327496541285644
1,1,100,0.8,0.1,0.7,0.06447247649377512,0.08418885189761643
