#neurons por layer oculto,#layers ocultos,max epochs,test size,lrate,alpha,MSE(training),MSE(test)
1,2,200,0.8,0.9,1,0.05482057753583822,0.09025070308191585
1,2,100,0.8,0.9,1,0.059617684774097304,0.0860983240270726
1,2,50,0.8,0.9,1,0.06516924815139775,0.08658319790702805
1,2,200,0.8,0.9,0.7,0.05419669899254184,0.08915568894360426
1,2,100,0.8,0.9,0.7,0.05890790383318366,0.08552368164648504
1,2,50,0.8,0.9,0.7,0.06471060451603097,0.08640264020613302
1,2,200,0.8,0.9,0.5,0.0539486070735283,0.088587633676289
1,2,100,0.8,0.9,0.5,0.05860944602401795,0.08532008052553255
1,2,50,0.8,0.9,0.5,0.06456290362018406,0.08622850149724165
1,2,200,0.8,0.9,0.2,0.0538187967594175,0.08744366502471647
1,2,100,0.8,0.9,0.2,0.05845440546953216,0.0850588360874817
1,2,50,0.8,0.9,0.2,0.06474859443556115,0.08591658750988473
1,2,200,0.8,0.9,0,0.05391361169024487,0.08663906746151918
1,2,100,0.8,0.9,0,0.05860168348882123,0.08492635774255967
1,2,50,0.8,0.9,0,0.06516731651248787,0.08580322824897033
1,2,200,0.8,0.5,1,0.0540108862409215,0.0863785398618105
1,2,100,0.8,0.5,1,0.05839303759475476,0.08486179853991081
1,2,50,0.8,0.5,1,0.06491844697407818,0.0855481995078762
1,2,200,0.8,0.5,0.7,0.05400901353499977,0.08568332641387826
1,2,100,0.8,0.5,0.7,0.05853460741468915,0.08464791462118673
1,2,50,0.8,0.5,0.7,0.06526322787186759,0.0854385910642042
1,2,200,0.8,0.5,0.5,0.054095998750482,0.08528535926684981
1,2,100,0.8,0.5,0.5,0.05878362385882565,0.08451850670826891
1,2,50,0.8,0.5,0.5,0.06559096355479002,0.0854800984028739
1,2,200,0.8,0.5,0.2,0.054442452766051336,0.08477386639621512
1,2,100,0.8,0.5,0.2,0.05963638079518256,0.08436611268106922
1,2,50,0.8,0.5,0.2,0.06622861857704641,0.085789454313152
1,2,200,0.8,0.5,0,0.0549048472765803,0.08448616072285267
1,2,100,0.8,0.5,0,0.06082947388928232,0.0844061531244028
1,2,50,0.8,0.5,0,0.0667384754527864,0.08607352100389516
1,2,200,0.8,0.1,1,0.06080924269066137,0.08332051433462738
1,2,100,0.8,0.1,1,0.06618654877629346,0.08482572253461253
1,2,50,0.8,0.1,1,0.06885690219016234,0.08703889657970577
1,2,200,0.8,0.1,0.7,0.06244174127597681,0.08332815548323222
1,2,100,0.8,0.1,0.7,0.066754833784222,0.08512288726976178
1,2,50,0.8,0.1,0.7,0.06924080023728925,0.08745124604985721
1,2,200,0.8,0.1,0.5,0.06342736109006321,0.08344538497277831
1,2,100,0.8,0.1,0.5,0.06716298164537036,0.08539392414888397
1,2,50,0.8,0.1,0.5,0.06951946215469149,0.08776468843998507
1,2,200,0.8,0.1,0.2,0.06477956992959896,0.08383753378557181
1,2,100,0.8,0.1,0.2,0.06785448006835164,0.08597711758387634
1,2,50,0.8,0.1,0.2,0.0699573670298025,0.088275393615392
