#neurons por layer oculto,#layers ocultos,max epochs,test size,lrate,alpha,MSE(training),MSE(test)
100,1,200,0.8,0.9,1,0.005683070684357843,0.11425282849866386
100,1,100,0.8,0.9,1,0.018995843404258497,0.10775537058029161
100,1,50,0.8,0.9,1,0.04977341707660766,0.10405061757596018
100,1,200,0.8,0.9,0.7,0.0066133324347921905,0.11367666911748815
100,1,100,0.8,0.9,0.7,0.019887389585211718,0.10320791798952596
100,1,50,0.8,0.9,0.7,0.046474258473942674,0.10677631297879217
100,1,200,0.8,0.9,0.5,0.007359931872769301,0.11653320600176939
100,1,100,0.8,0.9,0.5,0.02095773601021856,0.10220670846936403
100,1,50,0.8,0.9,0.5,0.04831033959093928,0.10634022813120977
100,1,200,0.8,0.9,0.2,0.009730396921936765,0.11734999875537051
100,1,100,0.8,0.9,0.2,0.02190590214231273,0.1095029336053645
100,1,50,0.8,0.9,0.2,0.0455137874089138,0.09944691274317925
100,1,200,0.8,0.9,0,0.010077431297289203,0.12071860396515201
100,1,100,0.8,0.9,0,0.02326861317104249,0.11116911578793458
100,1,50,0.8,0.9,0,0.046394549328026016,0.09949956925010149
100,1,200,0.8,0.5,1,0.009599994384033925,0.11694867529641458
100,1,100,0.8,0.5,1,0.026265531828931175,0.10557927638630216
100,1,50,0.8,0.5,1,0.047388982568899514,0.11057249236024712
100,1,200,0.8,0.5,0.7,0.010748458948855332,0.1182466899256342
100,1,100,0.8,0.5,0.7,0.02991781266246946,0.10735443234207923
100,1,50,0.8,0.5,0.7,0.0487326741450856,0.11143664891457768
100,1,200,0.8,0.5,0.5,0.011358580225863099,0.11662424634338793
100,1,100,0.8,0.5,0.5,0.02800917106120959,0.10519836739182323
100,1,50,0.8,0.5,0.5,0.049838772275840874,0.1042238711929338
100,1,200,0.8,0.5,0.2,0.012674720000544405,0.11488491155609215
100,1,100,0.8,0.5,0.2,0.02932271213740802,0.10499628041070361
100,1,50,0.8,0.5,0.2,0.04916782572305741,0.10509437593265956
100,1,200,0.8,0.5,0,0.014354293785654204,0.1116075869380341
100,1,100,0.8,0.5,0,0.03050838091354217,0.10312815347469627
100,1,50,0.8,0.5,0,0.04939381116746122,0.10329442873594087
100,1,200,0.8,0.1,1,0.0275441375378774,0.09725262604785273
100,1,100,0.8,0.1,1,0.04101961204771269,0.09288966348255934
100,1,50,0.8,0.1,1,0.05338703936611226,0.09504858740305032
100,1,200,0.8,0.1,0.7,0.029452546947809334,0.09492005677333652
100,1,100,0.8,0.1,0.7,0.04238950895234992,0.09140782522509021
100,1,50,0.8,0.1,0.7,0.053957283978756786,0.09319334622897224
100,1,200,0.8,0.1,0.5,0.031006834434466973,0.09336703388030855
100,1,100,0.8,0.1,0.5,0.04348998422121777,0.09073872844912081
100,1,50,0.8,0.1,0.5,0.05454258166604303,0.09237922764893637
100,1,200,0.8,0.1,0.2,0.03388120644981509,0.09138181723828717
100,1,100,0.8,0.1,0.2,0.04550016046019731,0.0901576387538684
100,1,50,0.8,0.1,0.2,0.0558726149006864,0.09193764270585528
100,1,200,0.8,0.1,0,0.03623904179000223,0.09037726523962854
100,1,100,0.8,0.1,0,0.04719633348470128,0.0900443435468547
