#neurons por layer oculto,#layers ocultos,max epochs,test size,lrate,alpha,MSE(training),MSE(test)
10,1,200,0.8,0.9,1,0.01639715241752465,0.1147263393808546
10,1,100,0.8,0.9,1,0.02991813587358448,0.09667828218215228
10,1,50,0.8,0.9,1,0.04769507733284013,0.08414541777735254
10,1,200,0.8,0.9,0.7,0.02104846806540509,0.10992914654962012
10,1,100,0.8,0.9,0.7,0.03394211407402716,0.0917728642768606
10,1,50,0.8,0.9,0.7,0.049950124779978206,0.0842705063371101
10,1,200,0.8,0.9,0.5,0.02029423196333162,0.10391356133596179
10,1,100,0.8,0.9,0.5,0.03384269497153564,0.08942198237856058
10,1,50,0.8,0.9,0.5,0.05097405788226959,0.08375558272384287
10,1,200,0.8,0.9,0.2,0.022681118255723828,0.10256842695960589
10,1,100,0.8,0.9,0.2,0.03751502017260866,0.0892017812641991
10,1,50,0.8,0.9,0.2,0.054755306883559354,0.08399026749286963
10,1,200,0.8,0.9,0,0.02495888910360794,0.09932023525575126
10,1,100,0.8,0.9,0,0.04084400347990665,0.08720614707563305
10,1,50,0.8,0.9,0,0.05691408540369111,0.08319252295511788
10,1,200,0.8,0.5,1,0.02407399497876072,0.10221265294823274
10,1,100,0.8,0.5,1,0.039381775314298643,0.09007692505361099
10,1,50,0.8,0.5,1,0.055382088708686744,0.08415346186479816
10,1,200,0.8,0.5,0.7,0.02660156884837223,0.10300103001840824
10,1,100,0.8,0.5,0.7,0.041922576540294826,0.08842719170403486
10,1,50,0.8,0.5,0.7,0.05696041915541927,0.08323125015259943
10,1,200,0.8,0.5,0.5,0.028436779530000164,0.1033739422223644
10,1,100,0.8,0.5,0.5,0.0439307747350959,0.08676996378572628
10,1,50,0.8,0.5,0.5,0.05824371888528203,0.08356901339083007
10,1,200,0.8,0.5,0.2,0.032128428403933214,0.0974145535162977
10,1,100,0.8,0.5,0.2,0.04739502333947571,0.08390929706002723
10,1,50,0.8,0.5,0.2,0.05948303172785738,0.08403813907621253
10,1,200,0.8,0.5,0,0.03553770723729652,0.09190570392456303
10,1,100,0.8,0.5,0,0.04989693106846579,0.083004984495258
10,1,50,0.8,0.5,0,0.06054085281271524,0.08486584318003747
10,1,200,0.8,0.1,1,0.04850608141306532,0.08215714669761044
10,1,100,0.8,0.1,1,0.05828406907223422,0.082960765996459
10,1,50,0.8,0.1,1,0.06386081233197484,0.08518072910030743
10,1,200,0.8,0.1,0.7,0.0506313944526726,0.08208703715337354
10,1,100,0.8,0.1,0.7,0.05946928722492185,0.08333090742980079
10,1,50,0.8,0.1,0.7,0.06439513485939087,0.08549506780099486
10,1,200,0.8,0.1,0.5,0.05220104866264541,0.08205086500673643
10,1,100,0.8,0.1,0.5,0.06027508490025233,0.08360272801889344
10,1,50,0.8,0.1,0.5,0.06484115308222933,0.08576154151422763
10,1,200,0.8,0.1,0.2,0.05483989791672999,0.08203607971564032
10,1,100,0.8,0.1,0.2,0.061532407526950446,0.08401278032201868
10,1,50,0.8,0.1,0.2,0.06571504424116165,0.08631788093979337
10,1,200,0.8,0.1,0,0.056755787767717183,0.08213820444576414
10,1,100,0.8,0.1,0,0.06244194483353027,0.0843112734866557
10,1,50,0.8,0.1,0,0.0664954301728642,0.0868524485678865
10,1,200,0.5,0.9,1,0.036321027901144366,0.0905343136937555
10,1,100,0.5,0.9,1,0.04509616875707095,0.0850575717324404
10,1,50,0.5,0.9,1,0.05394896732572729,0.08483108871760753
10,1,200,0.5,0.9,0.7,0.03608939821363788,0.09402823232513266
