#neurons por layer oculto,#layers ocultos,max epochs,test size,lrate,alpha,MSE(training),MSE(test)
10,2,200,0.8,0.9,1,0.01949664242882378,0.10939049149588172
10,2,100,0.8,0.9,1,0.032954143840707724,0.09345167938786238
10,2,50,0.8,0.9,1,0.05820363032170008,0.08517118040879897
10,2,200,0.8,0.9,0.7,0.020138727410351318,0.10585410133354677
10,2,100,0.8,0.9,0.7,0.036275639919242084,0.09716560059207126
10,2,50,0.8,0.9,0.7,0.0574597289156663,0.08364875652991946
10,2,200,0.8,0.9,0.5,0.021049979655841,0.10474184185425332
10,2,100,0.8,0.9,0.5,0.03748208625867274,0.0947706931803777
10,2,50,0.8,0.9,0.5,0.05731199524542432,0.08311667523657336
10,2,200,0.8,0.9,0.2,0.02265691245675315,0.10458650045524152
10,2,100,0.8,0.9,0.2,0.040429579127281214,0.08951274194143527
10,2,50,0.8,0.9,0.2,0.05774248047006168,0.0826050999946488
10,2,200,0.8,0.9,0,0.024259913729755278,0.10259208185428416
10,2,100,0.8,0.9,0,0.043280942560787794,0.08571546358999976
10,2,50,0.8,0.9,0,0.05855666250136879,0.0827949528039972
10,2,200,0.8,0.5,1,0.023542911865576152,0.10224938430981688
10,2,100,0.8,0.5,1,0.04137513573545106,0.08724328646362033
10,2,50,0.8,0.5,1,0.0579700110600764,0.08215260856123674
10,2,200,0.8,0.5,0.7,0.02504619220990641,0.09905109855157763
10,2,100,0.8,0.5,0.7,0.04358042178672142,0.08496352049230152
10,2,50,0.8,0.5,0.7,0.058439930925029686,0.08226891013675773
10,2,200,0.8,0.5,0.5,0.026736439407571762,0.0964631949767108
10,2,100,0.8,0.5,0.5,0.045230282960126426,0.08334282441649452
10,2,50,0.8,0.5,0.5,0.05897638326442062,0.08269289724751624
10,2,200,0.8,0.5,0.2,0.030808646489219986,0.09229175236301451
10,2,100,0.8,0.5,0.2,0.048158145068068,0.08154820564118308
10,2,50,0.8,0.5,0.2,0.06007472346933159,0.0837045992441826
10,2,200,0.8,0.5,0,0.03401282635409461,0.08953516868344459
10,2,100,0.8,0.5,0,0.05052407206387362,0.08109668926651922
10,2,50,0.8,0.5,0,0.061063937178235814,0.08460729249362085
10,2,200,0.8,0.1,1,0.048967712338317385,0.08070402277500785
10,2,100,0.8,0.1,1,0.059075707217145876,0.08329330190771282
10,2,50,0.8,0.1,1,0.06533825219602929,0.08616875346126192
10,2,200,0.8,0.1,0.7,0.051410623268283315,0.08092540347002929
10,2,100,0.8,0.1,0.7,0.06020320807630543,0.08377555610588923
10,2,50,0.8,0.1,0.7,0.06620491603749996,0.08673339528554803
10,2,200,0.8,0.1,0.5,0.053094127890723646,0.08123814200431072
10,2,100,0.8,0.1,0.5,0.061023706484800364,0.08409410095263789
10,2,50,0.8,0.1,0.5,0.06685787674380028,0.08717102812847327
10,2,200,0.8,0.1,0.2,0.05565702537587963,0.08191285698732112
10,2,100,0.8,0.1,0.2,0.062439155403746255,0.08458009392333886
10,2,50,0.8,0.1,0.2,0.06783844954486405,0.08785060169418296
10,2,200,0.8,0.1,0,0.05740183268929488,0.08246960766482983
10,2,100,0.8,0.1,0,0.06361566939446088,0.08498585032038009
