#neurons por layer oculto,#layers ocultos,max epochs,test size,lrate,alpha,MSE(training),MSE(test)
100,2,50,0.2,0.9,0,0.0518603122337627,0.10038201870312036
100,2,200,0.2,0.5,1,0.007988502177887625,0.1044085385764421
100,2,100,0.2,0.5,1,0.027904835785045917,0.11140511439389925
100,2,50,0.2,0.5,1,0.06475554996618914,0.12483450958668726
100,2,200,0.2,0.5,0.7,0.010243431575056531,0.11250304819142841
100,2,100,0.2,0.5,0.7,0.027880823714466433,0.1026692368941773
100,2,50,0.2,0.5,0.7,0.05784508450235229,0.12383352796729563
100,2,200,0.2,0.5,0.5,0.00873593884106491,0.1296357198081485
100,2,100,0.2,0.5,0.5,0.02564993517503085,0.11565882135722991
100,2,50,0.2,0.5,0.5,0.05644525999350625,0.12670094013606495
100,2,200,0.2,0.5,0.2,0.011200371044685128,0.11832599610801119
100,2,100,0.2,0.5,0.2,0.029304499167719072,0.0957044150749816
100,2,50,0.2,0.5,0.2,0.059061686540069006,0.10859309087190992
100,2,200,0.2,0.5,0,0.013758816655987783,0.10975750049572182
100,2,100,0.2,0.5,0,0.03024560247635465,0.0947921462377168
100,2,50,0.2,0.5,0,0.05535466782358844,0.11502888590017596
100,2,200,0.2,0.1,1,0.01922172160175664,0.09421004796677734
100,2,100,0.2,0.1,1,0.038212218810081446,0.08349482350875863
100,2,50,0.2,0.1,1,0.056500049953557445,0.08962696951463303
100,2,200,0.2,0.1,0.7,0.022227141632620028,0.1010713378530617
100,2,100,0.2,0.1,0.7,0.04140970650518597,0.08826264711485153
100,2,50,0.2,0.1,0.7,0.05818385999314093,0.09072544646603897
100,2,200,0.2,0.1,0.5,0.02394186370017433,0.09852530511699745
100,2,100,0.2,0.1,0.5,0.04278666548199624,0.08764480477132122
100,2,50,0.2,0.1,0.5,0.058558072827511826,0.09055579032626027
100,2,200,0.2,0.1,0.2,0.02687510473272608,0.09333681270194458
100,2,100,0.2,0.1,0.2,0.04457514837943056,0.08973118569577274
100,2,50,0.2,0.1,0.2,0.05857403122564474,0.09045830307361098
100,2,200,0.2,0.1,0,0.029491567615002223,0.08922284810224852
100,2,100,0.2,0.1,0,0.04600224777900925,0.08888591320363476
100,2,50,0.2,0.1,0,0.0585437542000664,0.0907817853952753
