#neurons por layer oculto,#layers ocultos,max epochs,test size,lrate,alpha,accuracy(training),accuracy(test)
1,1,200,0.8,0.9,1,0.7142857142857143,0.6503496503496503
1,1,100,0.8,0.9,1,0.7142857142857143,0.6293706293706294
1,1,50,0.8,0.9,1,0.6857142857142857,0.5944055944055944
1,1,200,0.8,0.9,0.7,0.7142857142857143,0.6363636363636364
1,1,100,0.8,0.9,0.7,0.7142857142857143,0.6223776223776224
1,1,50,0.8,0.9,0.7,0.6857142857142857,0.5804195804195804
1,1,200,0.8,0.9,0.5,0.7142857142857143,0.6293706293706294
1,1,100,0.8,0.9,0.5,0.7142857142857143,0.6153846153846154
1,1,50,0.8,0.9,0.5,0.6857142857142857,0.5944055944055944
1,1,200,0.8,0.9,0.2,0.7142857142857143,0.6223776223776224
1,1,100,0.8,0.9,0.2,0.6857142857142857,0.6083916083916084
1,1,50,0.8,0.9,0.2,0.6857142857142857,0.5734265734265734
1,1,200,0.8,0.9,0,0.7142857142857143,0.6083916083916084
1,1,100,0.8,0.9,0,0.6857142857142857,0.6083916083916084
1,1,50,0.8,0.9,0,0.6857142857142857,0.5524475524475524
1,1,200,0.8,0.5,1,0.7142857142857143,0.6223776223776224
1,1,100,0.8,0.5,1,0.6857142857142857,0.6083916083916084
1,1,50,0.8,0.5,1,0.6857142857142857,0.5734265734265734
1,1,200,0.8,0.5,0.7,0.7142857142857143,0.6223776223776224
1,1,100,0.8,0.5,0.7,0.6857142857142857,0.6153846153846154
1,1,50,0.8,0.5,0.7,0.6857142857142857,0.5594405594405595
1,1,200,0.8,0.5,0.5,0.7142857142857143,0.6013986013986014
1,1,100,0.8,0.5,0.5,0.6857142857142857,0.6083916083916084
1,1,50,0.8,0.5,0.5,0.6857142857142857,0.5454545454545454
1,1,200,0.8,0.5,0.2,0.7142857142857143,0.6153846153846154
1,1,100,0.8,0.5,0.2,0.6857142857142857,0.5804195804195804
1,1,50,0.8,0.5,0.2,0.6571428571428571,0.5664335664335665
1,1,200,0.8,0.5,0,0.7142857142857143,0.6153846153846154
1,1,100,0.8,0.5,0,0.6857142857142857,0.5734265734265734
1,1,50,0.8,0.5,0,0.6857142857142857,0.5454545454545454
1,1,200,0.8,0.1,1,0.7142857142857143,0.5944055944055944
1,1,100,0.8,0.1,1,0.6857142857142857,0.5664335664335665
1,1,50,0.8,0.1,1,0.0,0.006993006993006993
1,1,200,0.8,0.1,0.7,0.7142857142857143,0.5874125874125874
1,1,100,0.8,0.1,0.7,0.6857142857142857,0.5594405594405595
1,1,50,0.8,0.1,0.7,0.0,0.0
1,1,200,0.8,0.1,0.5,0.6857142857142857,0.5594405594405595
1,1,100,0.8,0.1,0.5,0.6857142857142857,0.5524475524475524
1,1,50,0.8,0.1,0.5,0.0,0.0
1,1,200,0.8,0.1,0.2,0.6857142857142857,0.5734265734265734
1,1,100,0.8,0.1,0.2,0.4857142857142857,0.4125874125874126
1,1,50,0.8,0.1,0.2,0.0,0.0
1,1,200,0.8,0.1,0,0.6857142857142857,0.5594405594405595
1,1,100,0.8,0.1,0,0.02857142857142857,0.02097902097902098
1,1,50,0.8,0.1,0,0.0,0.0
1,1,200,0.5,0.9,1,0.6966292134831461,0.6741573033707865
1,1,100,0.5,0.9,1,0.6966292134831461,0.6741573033707865
1,1,50,0.5,0.9,1,0.6966292134831461,0.6966292134831461
1,1,200,0.5,0.9,0.7,0.6853932584269663,0.6629213483146067
1,1,100,0.5,0.9,0.7,0.6966292134831461,0.6741573033707865
1,1,50,0.5,0.9,0.7,0.6966292134831461,0.6741573033707865
1,1,200,0.5,0.9,0.5,0.6853932584269663,0.6741573033707865
1,1,100,0.5,0.9,0.5,0.6853932584269663,0.6741573033707865
1,1,50,0.5,0.9,0.5,0.6966292134831461,0.6741573033707865
1,1,200,0.5,0.9,0.2,0.6741573033707865,0.6629213483146067
1,1,100,0.5,0.9,0.2,0.6741573033707865,0.6741573033707865
1,1,50,0.5,0.9,0.2,0.6853932584269663,0.6741573033707865
1,1,200,0.5,0.9,0,0.6741573033707865,0.6629213483146067
1,1,100,0.5,0.9,0,0.6853932584269663,0.6741573033707865
1,1,50,0.5,0.9,0,0.6741573033707865,0.6629213483146067
1,1,200,0.5,0.5,1,0.6853932584269663,0.6629213483146067
1,1,100,0.5,0.5,1,0.6966292134831461,0.6741573033707865
1,1,50,0.5,0.5,1,0.6853932584269663,0.6741573033707865
1,1,200,0.5,0.5,0.7,0.6853932584269663,0.651685393258427
1,1,100,0.5,0.5,0.7,0.6966292134831461,0.6741573033707865
1,1,50,0.5,0.5,0.7,0.6741573033707865,0.6741573033707865
1,1,200,0.5,0.5,0.5,0.6853932584269663,0.6629213483146067
1,1,100,0.5,0.5,0.5,0.6966292134831461,0.6741573033707865
1,1,50,0.5,0.5,0.5,0.6853932584269663,0.6741573033707865
1,1,200,0.5,0.5,0.2,0.6853932584269663,0.6629213483146067
1,1,100,0.5,0.5,0.2,0.6966292134831461,0.6741573033707865
1,1,50,0.5,0.5,0.2,0.7078651685393258,0.6853932584269663
1,1,200,0.5,0.5,0,0.6966292134831461,0.6629213483146067
1,1,100,0.5,0.5,0,0.6966292134831461,0.6741573033707865
1,1,50,0.5,0.5,0,0.7078651685393258,0.6853932584269663
1,1,200,0.5,0.1,1,0.6966292134831461,0.6741573033707865
1,1,100,0.5,0.1,1,0.6966292134831461,0.6853932584269663
1,1,50,0.5,0.1,1,0.6404494382022472,0.6853932584269663
1,1,200,0.5,0.1,0.7,0.6966292134831461,0.6853932584269663
1,1,100,0.5,0.1,0.7,0.6853932584269663,0.6741573033707865
1,1,50,0.5,0.1,0.7,0.6404494382022472,0.6853932584269663
1,1,200,0.5,0.1,0.5,0.6966292134831461,0.6741573033707865
1,1,100,0.5,0.1,0.5,0.6629213483146067,0.6853932584269663
1,1,50,0.5,0.1,0.5,0.6179775280898876,0.6853932584269663
1,1,200,0.5,0.1,0.2,0.6966292134831461,0.6741573033707865
1,1,100,0.5,0.1,0.2,0.651685393258427,0.6853932584269663
1,1,50,0.5,0.1,0.2,0.5955056179775281,0.6629213483146067
1,1,200,0.5,0.1,0,0.6966292134831461,0.6629213483146067
1,1,100,0.5,0.1,0,0.6404494382022472,0.6853932584269663
1,1,50,0.5,0.1,0,0.5168539325842697,0.6067415730337079
1,1,200,0.2,0.9,1,0.6619718309859155,0.75
1,1,100,0.2,0.9,1,0.6408450704225352,0.6944444444444444
1,1,50,0.2,0.9,1,0.676056338028169,0.7222222222222222
1,1,200,0.2,0.9,0.7,0.6549295774647887,0.6944444444444444
1,1,100,0.2,0.9,0.7,0.6408450704225352,0.6944444444444444
1,1,50,0.2,0.9,0.7,0.676056338028169,0.6944444444444444
1,1,200,0.2,0.9,0.5,0.676056338028169,0.7222222222222222
1,1,100,0.2,0.9,0.5,0.6408450704225352,0.6944444444444444
1,1,50,0.2,0.9,0.5,0.676056338028169,0.6944444444444444
1,1,200,0.2,0.9,0.2,0.6690140845070423,0.6944444444444444
1,1,100,0.2,0.9,0.2,0.6549295774647887,0.6944444444444444
1,1,50,0.2,0.9,0.2,0.6690140845070423,0.6944444444444444
1,1,200,0.2,0.9,0,0.6549295774647887,0.6944444444444444
1,1,100,0.2,0.9,0,0.6549295774647887,0.6944444444444444
1,1,50,0.2,0.9,0,0.6690140845070423,0.6944444444444444
1,1,200,0.2,0.5,1,0.6619718309859155,0.6944444444444444
