#neurons por layer oculto,#layers ocultos,max epochs,test size,lrate,alpha,accuracy(training),accuracy(test)
10,2,200,0.8,0.9,1,1.0,0.9230769230769231
10,2,100,0.8,0.9,1,1.0,0.9300699300699301
10,2,50,0.8,0.9,1,1.0,0.9370629370629371
10,2,200,0.8,0.9,0.7,1.0,0.9300699300699301
10,2,100,0.8,0.9,0.7,1.0,0.9230769230769231
10,2,50,0.8,0.9,0.7,1.0,0.916083916083916
10,2,200,0.8,0.9,0.5,1.0,0.9230769230769231
10,2,100,0.8,0.9,0.5,1.0,0.916083916083916
10,2,50,0.8,0.9,0.5,1.0,0.916083916083916
10,2,200,0.8,0.9,0.2,1.0,0.916083916083916
10,2,100,0.8,0.9,0.2,1.0,0.916083916083916
10,2,50,0.8,0.9,0.2,1.0,0.9090909090909091
10,2,200,0.8,0.9,0,1.0,0.916083916083916
10,2,100,0.8,0.9,0,1.0,0.9090909090909091
10,2,50,0.8,0.9,0,1.0,0.9090909090909091
10,2,200,0.8,0.5,1,1.0,0.9090909090909091
10,2,100,0.8,0.5,1,1.0,0.9090909090909091
10,2,50,0.8,0.5,1,1.0,0.9090909090909091
10,2,200,0.8,0.5,0.7,1.0,0.9090909090909091
10,2,100,0.8,0.5,0.7,1.0,0.9090909090909091
10,2,50,0.8,0.5,0.7,1.0,0.9020979020979021
10,2,200,0.8,0.5,0.5,1.0,0.9090909090909091
10,2,100,0.8,0.5,0.5,1.0,0.9090909090909091
10,2,50,0.8,0.5,0.5,1.0,0.9020979020979021
10,2,200,0.8,0.5,0.2,1.0,0.9090909090909091
10,2,100,0.8,0.5,0.2,1.0,0.9090909090909091
10,2,50,0.8,0.5,0.2,1.0,0.8951048951048951
10,2,200,0.8,0.5,0,1.0,0.9090909090909091
10,2,100,0.8,0.5,0,1.0,0.9090909090909091
10,2,50,0.8,0.5,0,1.0,0.8951048951048951
10,2,200,0.8,0.1,1,1.0,0.9020979020979021
10,2,100,0.8,0.1,1,1.0,0.8811188811188811
10,2,50,0.8,0.1,1,0.8857142857142857,0.8391608391608392
10,2,200,0.8,0.1,0.7,1.0,0.9090909090909091
10,2,100,0.8,0.1,0.7,1.0,0.8741258741258742
10,2,50,0.8,0.1,0.7,0.8857142857142857,0.7902097902097902
10,2,200,0.8,0.1,0.5,1.0,0.9020979020979021
10,2,100,0.8,0.1,0.5,0.9714285714285714,0.8671328671328671
10,2,50,0.8,0.1,0.5,0.8857142857142857,0.7552447552447552
10,2,200,0.8,0.1,0.2,1.0,0.8951048951048951
10,2,100,0.8,0.1,0.2,0.9428571428571428,0.8531468531468531
10,2,50,0.8,0.1,0.2,0.8571428571428571,0.6573426573426573
10,2,200,0.8,0.1,0,1.0,0.8881118881118881
10,2,100,0.8,0.1,0,0.8857142857142857,0.8601398601398601
10,2,50,0.8,0.1,0,0.8285714285714286,0.5944055944055944
10,2,200,0.5,0.9,1,1.0,0.9550561797752809
10,2,100,0.5,0.9,1,1.0,0.9550561797752809
10,2,50,0.5,0.9,1,1.0,0.9550561797752809
10,2,200,0.5,0.9,0.7,1.0,0.9550561797752809
10,2,100,0.5,0.9,0.7,1.0,0.9550561797752809
10,2,50,0.5,0.9,0.7,1.0,0.9550561797752809
10,2,200,0.5,0.9,0.5,1.0,0.9438202247191011
10,2,100,0.5,0.9,0.5,1.0,0.9438202247191011
10,2,50,0.5,0.9,0.5,1.0,0.9438202247191011
10,2,200,0.5,0.9,0.2,1.0,0.9438202247191011
10,2,100,0.5,0.9,0.2,1.0,0.9438202247191011
10,2,50,0.5,0.9,0.2,1.0,0.9438202247191011
10,2,200,0.5,0.9,0,1.0,0.9550561797752809
10,2,100,0.5,0.9,0,1.0,0.9550561797752809
10,2,50,0.5,0.9,0,1.0,0.9438202247191011
10,2,200,0.5,0.5,1,1.0,0.9438202247191011
10,2,100,0.5,0.5,1,1.0,0.9438202247191011
10,2,50,0.5,0.5,1,1.0,0.9438202247191011
10,2,200,0.5,0.5,0.7,1.0,0.9550561797752809
10,2,100,0.5,0.5,0.7,1.0,0.9550561797752809
10,2,50,0.5,0.5,0.7,1.0,0.9550561797752809
10,2,200,0.5,0.5,0.5,1.0,0.9550561797752809
10,2,100,0.5,0.5,0.5,1.0,0.9550561797752809
10,2,50,0.5,0.5,0.5,1.0,0.9550561797752809
10,2,200,0.5,0.5,0.2,1.0,0.9550561797752809
10,2,100,0.5,0.5,0.2,1.0,0.9550561797752809
10,2,50,0.5,0.5,0.2,1.0,0.9550561797752809
10,2,200,0.5,0.5,0,1.0,0.9550561797752809
10,2,100,0.5,0.5,0,1.0,0.9550561797752809
10,2,50,0.5,0.5,0,1.0,0.9438202247191011
10,2,200,0.5,0.1,1,1.0,0.9438202247191011
