#neurons por layer oculto,#layers ocultos,max epochs,test size,lrate,alpha,accuracy(training),accuracy(test)
100,1,200,0.8,0.9,1,1.0,0.9020979020979021
100,1,100,0.8,0.9,1,1.0,0.9020979020979021
100,1,50,0.8,0.9,1,0.9714285714285714,0.8951048951048951
100,1,200,0.8,0.9,0.7,1.0,0.9020979020979021
100,1,100,0.8,0.9,0.7,1.0,0.9020979020979021
100,1,50,0.8,0.9,0.7,1.0,0.9020979020979021
100,1,200,0.8,0.9,0.5,1.0,0.9020979020979021
100,1,100,0.8,0.9,0.5,1.0,0.9020979020979021
100,1,50,0.8,0.9,0.5,1.0,0.9020979020979021
100,1,200,0.8,0.9,0.2,1.0,0.9020979020979021
100,1,100,0.8,0.9,0.2,1.0,0.9020979020979021
100,1,50,0.8,0.9,0.2,1.0,0.8951048951048951
100,1,200,0.8,0.9,0,1.0,0.9020979020979021
100,1,100,0.8,0.9,0,1.0,0.9020979020979021
100,1,50,0.8,0.9,0,1.0,0.9020979020979021
100,1,200,0.8,0.5,1,1.0,0.9020979020979021
100,1,100,0.8,0.5,1,1.0,0.9020979020979021
100,1,50,0.8,0.5,1,1.0,0.8951048951048951
100,1,200,0.8,0.5,0.7,1.0,0.9020979020979021
100,1,100,0.8,0.5,0.7,1.0,0.9020979020979021
100,1,50,0.8,0.5,0.7,1.0,0.9090909090909091
100,1,200,0.8,0.5,0.5,1.0,0.9090909090909091
100,1,100,0.8,0.5,0.5,1.0,0.9090909090909091
100,1,50,0.8,0.5,0.5,1.0,0.9020979020979021
100,1,200,0.8,0.5,0.2,1.0,0.9020979020979021
100,1,100,0.8,0.5,0.2,1.0,0.9020979020979021
100,1,50,0.8,0.5,0.2,1.0,0.9020979020979021
100,1,200,0.8,0.5,0,1.0,0.9090909090909091
100,1,100,0.8,0.5,0,1.0,0.9020979020979021
100,1,50,0.8,0.5,0,1.0,0.9020979020979021
100,1,200,0.8,0.1,1,1.0,0.9090909090909091
100,1,100,0.8,0.1,1,1.0,0.9020979020979021
100,1,50,0.8,0.1,1,1.0,0.8951048951048951
100,1,200,0.8,0.1,0.7,1.0,0.9090909090909091
100,1,100,0.8,0.1,0.7,1.0,0.9020979020979021
100,1,50,0.8,0.1,0.7,1.0,0.8881118881118881
100,1,200,0.8,0.1,0.5,1.0,0.9090909090909091
100,1,100,0.8,0.1,0.5,1.0,0.9020979020979021
100,1,50,0.8,0.1,0.5,1.0,0.8881118881118881
100,1,200,0.8,0.1,0.2,1.0,0.9090909090909091
100,1,100,0.8,0.1,0.2,1.0,0.8951048951048951
100,1,50,0.8,0.1,0.2,1.0,0.8811188811188811
100,1,200,0.8,0.1,0,1.0,0.9090909090909091
100,1,100,0.8,0.1,0,1.0,0.8951048951048951
100,1,50,0.8,0.1,0,1.0,0.8671328671328671
100,1,200,0.5,0.9,1,1.0,0.9550561797752809
100,1,100,0.5,0.9,1,1.0,0.9550561797752809
100,1,50,0.5,0.9,1,1.0,0.9325842696629213
100,1,200,0.5,0.9,0.7,1.0,0.9550561797752809
100,1,100,0.5,0.9,0.7,1.0,0.9550561797752809
100,1,50,0.5,0.9,0.7,1.0,0.9550561797752809
100,1,200,0.5,0.9,0.5,1.0,0.9438202247191011
100,1,100,0.5,0.9,0.5,1.0,0.9438202247191011
100,1,50,0.5,0.9,0.5,1.0,0.9325842696629213
100,1,200,0.5,0.9,0.2,1.0,0.9550561797752809
100,1,100,0.5,0.9,0.2,1.0,0.9438202247191011
100,1,50,0.5,0.9,0.2,1.0,0.9325842696629213
100,1,200,0.5,0.9,0,1.0,0.9550561797752809
100,1,100,0.5,0.9,0,1.0,0.9550561797752809
100,1,50,0.5,0.9,0,1.0,0.9438202247191011
100,1,200,0.5,0.5,1,1.0,0.9550561797752809
100,1,100,0.5,0.5,1,1.0,0.9550561797752809
100,1,50,0.5,0.5,1,1.0,0.9325842696629213
100,1,200,0.5,0.5,0.7,1.0,0.9550561797752809
100,1,100,0.5,0.5,0.7,1.0,0.9550561797752809
100,1,50,0.5,0.5,0.7,1.0,0.9438202247191011
100,1,200,0.5,0.5,0.5,1.0,0.9550561797752809
100,1,100,0.5,0.5,0.5,1.0,0.9550561797752809
100,1,50,0.5,0.5,0.5,1.0,0.9550561797752809
100,1,200,0.5,0.5,0.2,1.0,0.9550561797752809
100,1,100,0.5,0.5,0.2,1.0,0.9550561797752809
100,1,50,0.5,0.5,0.2,1.0,0.9550561797752809
100,1,200,0.5,0.5,0,1.0,0.9550561797752809
100,1,100,0.5,0.5,0,1.0,0.9550561797752809
100,1,50,0.5,0.5,0,1.0,0.9550561797752809
100,1,200,0.5,0.1,1,1.0,0.9550561797752809
100,1,100,0.5,0.1,1,1.0,0.9550561797752809
100,1,50,0.5,0.1,1,1.0,0.9438202247191011
100,1,200,0.5,0.1,0.7,1.0,0.9550561797752809
100,1,100,0.5,0.1,0.7,1.0,0.9662921348314607
100,1,50,0.5,0.1,0.7,1.0,0.9438202247191011
100,1,200,0.5,0.1,0.5,1.0,0.9550561797752809
100,1,100,0.5,0.1,0.5,1.0,0.9662921348314607
100,1,50,0.5,0.1,0.5,1.0,0.9550561797752809
100,1,200,0.5,0.1,0.2,1.0,0.9662921348314607
100,1,100,0.5,0.1,0.2,1.0,0.9662921348314607
100,1,50,0.5,0.1,0.2,1.0,0.9550561797752809
100,1,200,0.5,0.1,0,1.0,0.9662921348314607
100,1,100,0.5,0.1,0,1.0,0.9550561797752809
100,1,50,0.5,0.1,0,0.9887640449438202,0.9550561797752809
100,1,200,0.2,0.9,1,1.0,0.9722222222222222
100,1,100,0.2,0.9,1,1.0,0.9722222222222222
100,1,50,0.2,0.9,1,1.0,0.9722222222222222
100,1,200,0.2,0.9,0.7,1.0,0.9444444444444444
100,1,100,0.2,0.9,0.7,1.0,0.9444444444444444
100,1,50,0.2,0.9,0.7,0.9929577464788732,0.9444444444444444
100,1,200,0.2,0.9,0.5,1.0,0.9444444444444444
100,1,100,0.2,0.9,0.5,1.0,0.9444444444444444
100,1,50,0.2,0.9,0.5,1.0,0.9444444444444444
100,1,200,0.2,0.9,0.2,1.0,0.9444444444444444
100,1,100,0.2,0.9,0.2,1.0,0.9444444444444444
100,1,50,0.2,0.9,0.2,1.0,0.9444444444444444
100,1,200,0.2,0.9,0,1.0,0.9444444444444444
100,1,100,0.2,0.9,0,1.0,0.9444444444444444
100,1,50,0.2,0.9,0,1.0,0.9444444444444444
100,1,200,0.2,0.5,1,1.0,0.9444444444444444
100,1,100,0.2,0.5,1,1.0,0.9444444444444444
100,1,50,0.2,0.5,1,1.0,0.9444444444444444
100,1,200,0.2,0.5,0.7,1.0,0.9444444444444444
100,1,100,0.2,0.5,0.7,1.0,0.9444444444444444
100,1,50,0.2,0.5,0.7,1.0,0.9444444444444444
100,1,200,0.2,0.5,0.5,1.0,0.9444444444444444
100,1,100,0.2,0.5,0.5,1.0,0.9444444444444444
100,1,50,0.2,0.5,0.5,1.0,0.9444444444444444
100,1,200,0.2,0.5,0.2,1.0,0.9444444444444444
100,1,100,0.2,0.5,0.2,1.0,0.9444444444444444
100,1,50,0.2,0.5,0.2,1.0,0.9444444444444444
100,1,200,0.2,0.5,0,1.0,0.9444444444444444
100,1,100,0.2,0.5,0,1.0,0.9444444444444444
100,1,50,0.2,0.5,0,1.0,0.9444444444444444
100,1,200,0.2,0.1,1,1.0,0.9444444444444444
100,1,100,0.2,0.1,1,1.0,0.9722222222222222
100,1,50,0.2,0.1,1,0.9929577464788732,0.9722222222222222
100,1,200,0.2,0.1,0.7,1.0,0.9722222222222222
100,1,100,0.2,0.1,0.7,1.0,0.9722222222222222
100,1,50,0.2,0.1,0.7,0.9929577464788732,0.9722222222222222
100,1,200,0.2,0.1,0.5,1.0,0.9722222222222222
100,1,100,0.2,0.1,0.5,1.0,0.9722222222222222
100,1,50,0.2,0.1,0.5,0.9929577464788732,0.9722222222222222
100,1,200,0.2,0.1,0.2,1.0,0.9722222222222222
100,1,100,0.2,0.1,0.2,1.0,0.9722222222222222
100,1,50,0.2,0.1,0.2,0.9929577464788732,0.9722222222222222
100,1,200,0.2,0.1,0,1.0,0.9722222222222222
100,1,100,0.2,0.1,0,1.0,0.9722222222222222
100,1,50,0.2,0.1,0,0.9859154929577465,0.9722222222222222
