#neurons por layer oculto,#layers ocultos,max epochs,test size,lrate,alpha,accuracy(training),accuracy(test)
100,2,100,0.8,0.1,0.5,1.0,0.9300699300699301
100,2,50,0.8,0.1,0.5,1.0,0.916083916083916
100,2,200,0.8,0.1,0.2,1.0,0.916083916083916
100,2,100,0.8,0.1,0.2,1.0,0.9230769230769231
100,2,50,0.8,0.1,0.2,1.0,0.916083916083916
100,2,200,0.8,0.1,0,1.0,0.9230769230769231
100,2,100,0.8,0.1,0,1.0,0.9230769230769231
100,2,50,0.8,0.1,0,1.0,0.916083916083916
100,2,200,0.5,0.9,1,0.0,0.0
100,2,100,0.5,0.9,1,0.3707865168539326,0.29213483146067415
100,2,50,0.5,0.9,1,0.3707865168539326,0.29213483146067415
100,2,200,0.5,0.9,0.7,1.0,0.9550561797752809
100,2,100,0.5,0.9,0.7,0.8764044943820225,0.898876404494382
100,2,50,0.5,0.9,0.7,0.0,0.0
100,2,200,0.5,0.9,0.5,1.0,0.9550561797752809
100,2,100,0.5,0.9,0.5,1.0,0.9438202247191011
100,2,50,0.5,0.9,0.5,0.9438202247191011,0.9101123595505618
100,2,200,0.5,0.9,0.2,1.0,0.9550561797752809
100,2,100,0.5,0.9,0.2,1.0,0.9550561797752809
100,2,50,0.5,0.9,0.2,1.0,0.9662921348314607
100,2,200,0.5,0.9,0,1.0,0.9662921348314607
100,2,100,0.5,0.9,0,1.0,0.9550561797752809
100,2,50,0.5,0.9,0,1.0,0.9550561797752809
100,2,200,0.5,0.5,1,1.0,0.9662921348314607
100,2,100,0.5,0.5,1,1.0,0.9662921348314607
100,2,50,0.5,0.5,1,1.0,0.9662921348314607
100,2,200,0.5,0.5,0.7,1.0,0.9775280898876404
100,2,100,0.5,0.5,0.7,1.0,0.9775280898876404
100,2,50,0.5,0.5,0.7,1.0,0.9775280898876404
100,2,200,0.5,0.5,0.5,1.0,0.9775280898876404
100,2,100,0.5,0.5,0.5,1.0,0.9775280898876404
100,2,50,0.5,0.5,0.5,1.0,0.9775280898876404
100,2,200,0.5,0.5,0.2,1.0,0.9887640449438202
100,2,100,0.5,0.5,0.2,1.0,0.9775280898876404
100,2,50,0.5,0.5,0.2,1.0,0.9662921348314607
100,2,200,0.5,0.5,0,1.0,0.9887640449438202
100,2,100,0.5,0.5,0,1.0,0.9887640449438202
