#neurons por layer oculto,#layers ocultos,max epochs,test size,lrate,alpha,accuracy(training),accuracy(test)
10,1,200,0.8,0.9,1,1.0,0.9230769230769231
10,1,100,0.8,0.9,1,1.0,0.9230769230769231
10,1,50,0.8,0.9,1,1.0,0.9230769230769231
10,1,200,0.8,0.9,0.7,1.0,0.9230769230769231
10,1,100,0.8,0.9,0.7,1.0,0.9230769230769231
10,1,50,0.8,0.9,0.7,1.0,0.9230769230769231
10,1,200,0.8,0.9,0.5,1.0,0.9230769230769231
10,1,100,0.8,0.9,0.5,1.0,0.9230769230769231
10,1,50,0.8,0.9,0.5,1.0,0.9230769230769231
10,1,200,0.8,0.9,0.2,1.0,0.9230769230769231
10,1,100,0.8,0.9,0.2,1.0,0.9230769230769231
10,1,50,0.8,0.9,0.2,1.0,0.9230769230769231
10,1,200,0.8,0.9,0,1.0,0.9230769230769231
10,1,100,0.8,0.9,0,1.0,0.9230769230769231
10,1,50,0.8,0.9,0,1.0,0.9230769230769231
10,1,200,0.8,0.5,1,1.0,0.9230769230769231
10,1,100,0.8,0.5,1,1.0,0.9230769230769231
10,1,50,0.8,0.5,1,1.0,0.916083916083916
10,1,200,0.8,0.5,0.7,1.0,0.9230769230769231
10,1,100,0.8,0.5,0.7,1.0,0.9230769230769231
10,1,50,0.8,0.5,0.7,1.0,0.9230769230769231
10,1,200,0.8,0.5,0.5,1.0,0.9230769230769231
10,1,100,0.8,0.5,0.5,1.0,0.916083916083916
10,1,50,0.8,0.5,0.5,1.0,0.9230769230769231
10,1,200,0.8,0.5,0.2,1.0,0.9230769230769231
10,1,100,0.8,0.5,0.2,1.0,0.916083916083916
10,1,50,0.8,0.5,0.2,1.0,0.916083916083916
10,1,200,0.8,0.5,0,1.0,0.916083916083916
10,1,100,0.8,0.5,0,1.0,0.9230769230769231
10,1,50,0.8,0.5,0,0.9714285714285714,0.9020979020979021
10,1,200,0.8,0.1,1,1.0,0.9230769230769231
10,1,100,0.8,0.1,1,0.9714285714285714,0.8881118881118881
10,1,50,0.8,0.1,1,0.9428571428571428,0.8531468531468531
10,1,200,0.8,0.1,0.7,1.0,0.9230769230769231
10,1,100,0.8,0.1,0.7,0.9714285714285714,0.8671328671328671
10,1,50,0.8,0.1,0.7,0.9428571428571428,0.8461538461538461
10,1,200,0.8,0.1,0.5,1.0,0.916083916083916
10,1,100,0.8,0.1,0.5,0.9714285714285714,0.8671328671328671
10,1,50,0.8,0.1,0.5,0.9428571428571428,0.8461538461538461
10,1,200,0.8,0.1,0.2,1.0,0.8951048951048951
10,1,100,0.8,0.1,0.2,0.9714285714285714,0.8671328671328671
10,1,50,0.8,0.1,0.2,0.9428571428571428,0.8391608391608392
10,1,200,0.8,0.1,0,0.9714285714285714,0.8881118881118881
10,1,100,0.8,0.1,0,0.9428571428571428,0.8531468531468531
10,1,50,0.8,0.1,0,0.9142857142857143,0.8321678321678322
10,1,200,0.5,0.9,1,1.0,0.9775280898876404
10,1,100,0.5,0.9,1,1.0,0.9775280898876404
10,1,50,0.5,0.9,1,1.0,0.9662921348314607
10,1,200,0.5,0.9,0.7,1.0,0.9775280898876404
10,1,100,0.5,0.9,0.7,1.0,0.9775280898876404
10,1,50,0.5,0.9,0.7,1.0,0.9662921348314607
10,1,200,0.5,0.9,0.5,1.0,0.9775280898876404
10,1,100,0.5,0.9,0.5,1.0,0.9775280898876404
10,1,50,0.5,0.9,0.5,1.0,0.9662921348314607
10,1,200,0.5,0.9,0.2,1.0,0.9775280898876404
10,1,100,0.5,0.9,0.2,1.0,0.9775280898876404
10,1,50,0.5,0.9,0.2,1.0,0.9662921348314607
10,1,200,0.5,0.9,0,1.0,0.9775280898876404
10,1,100,0.5,0.9,0,1.0,0.9775280898876404
10,1,50,0.5,0.9,0,1.0,0.9775280898876404
10,1,200,0.5,0.5,1,1.0,0.9775280898876404
10,1,100,0.5,0.5,1,1.0,0.9775280898876404
10,1,50,0.5,0.5,1,1.0,0.9775280898876404
10,1,200,0.5,0.5,0.7,1.0,0.9775280898876404
10,1,100,0.5,0.5,0.7,1.0,0.9887640449438202
10,1,50,0.5,0.5,0.7,1.0,0.9775280898876404
10,1,200,0.5,0.5,0.5,1.0,0.9775280898876404
10,1,100,0.5,0.5,0.5,1.0,0.9887640449438202
10,1,50,0.5,0.5,0.5,1.0,0.9775280898876404
10,1,200,0.5,0.5,0.2,1.0,0.9887640449438202
10,1,100,0.5,0.5,0.2,1.0,0.9887640449438202
10,1,50,0.5,0.5,0.2,1.0,0.9775280898876404
10,1,200,0.5,0.5,0,1.0,0.9887640449438202
10,1,100,0.5,0.5,0,1.0,0.9887640449438202
10,1,50,0.5,0.5,0,1.0,0.9662921348314607
10,1,200,0.5,0.1,1,1.0,0.9887640449438202
10,1,100,0.5,0.1,1,1.0,0.9662921348314607
10,1,50,0.5,0.1,1,0.9775280898876404,0.9662921348314607
10,1,200,0.5,0.1,0.7,1.0,0.9887640449438202
10,1,100,0.5,0.1,0.7,1.0,0.9662921348314607
10,1,50,0.5,0.1,0.7,0.9775280898876404,0.9550561797752809
10,1,200,0.5,0.1,0.5,1.0,0.9887640449438202
10,1,100,0.5,0.1,0.5,1.0,0.9662921348314607
10,1,50,0.5,0.1,0.5,0.9662921348314607,0.9325842696629213
10,1,200,0.5,0.1,0.2,1.0,0.9662921348314607
10,1,100,0.5,0.1,0.2,0.9887640449438202,0.9662921348314607
10,1,50,0.5,0.1,0.2,0.9550561797752809,0.9213483146067416
10,1,200,0.5,0.1,0,1.0,0.9662921348314607
10,1,100,0.5,0.1,0,0.9887640449438202,0.9662921348314607
10,1,50,0.5,0.1,0,0.9438202247191011,0.898876404494382
10,1,200,0.2,0.9,1,1.0,0.9722222222222222
10,1,100,0.2,0.9,1,1.0,0.9722222222222222
10,1,50,0.2,0.9,1,1.0,0.9444444444444444
10,1,200,0.2,0.9,0.7,1.0,0.9722222222222222
10,1,100,0.2,0.9,0.7,1.0,0.9722222222222222
10,1,50,0.2,0.9,0.7,1.0,0.9444444444444444
10,1,200,0.2,0.9,0.5,1.0,0.9722222222222222
10,1,100,0.2,0.9,0.5,1.0,0.9722222222222222
10,1,50,0.2,0.9,0.5,1.0,0.9444444444444444
10,1,200,0.2,0.9,0.2,1.0,0.9722222222222222
10,1,100,0.2,0.9,0.2,1.0,0.9722222222222222
10,1,50,0.2,0.9,0.2,1.0,0.9722222222222222
10,1,200,0.2,0.9,0,1.0,0.9722222222222222
10,1,100,0.2,0.9,0,1.0,0.9722222222222222
10,1,50,0.2,0.9,0,1.0,0.9722222222222222
10,1,200,0.2,0.5,1,1.0,0.9722222222222222
10,1,100,0.2,0.5,1,1.0,0.9722222222222222
10,1,50,0.2,0.5,1,1.0,0.9722222222222222
